종목명,종목코드,시장,섹터코드,섹터명
SH에너지화학,002360,KOSPI,S08,화학·소재
고려아연,010130,KOSPI,S08,화학·소재
국도화학,007690,KOSPI,S08,화학·소재
금호석유화학,011780,KOSPI,S08,화학·소재
금호석유화학우,011785,KOSPI,S08,화학·소재
남해화학,025860,KOSPI,S08,화학·소재
롯데정밀화학,004000,KOSPI,S08,화학·소재
롯데케미칼,011170,KOSPI,S08,화학·소재
문배철강,008420,KOSPI,S08,화학·소재
미원화학,134380,KOSPI,S08,화학·소재
부국철강,026940,KOSPI,S08,화학·소재
솔루스첨단소재,336370,KOSPI,S08,화학·소재
솔루스첨단소재1우,33637K,KOSPI,S08,화학·소재
솔루스첨단소재2우B,33637L,KOSPI,S08,화학·소재
영보화학,014440,KOSPI,S08,화학·소재
율촌화학,008730,KOSPI,S08,화학·소재
이수화학,005950,KOSPI,S08,화학·소재
진양화학,051630,KOSPI,S08,화학·소재
코스모신소재,005070,KOSPI,S08,화학·소재
코스모화학,005420,KOSPI,S08,화학·소재
풍산,103140,KOSPI,S08,화학·소재
한국철강,104700,KOSPI,S08,화학·소재
한일철강,002220,KOSPI,S08,화학·소재
효성화학,298000,KOSPI,S08,화학·소재
KCC건설,021320,KOSDAQ,S09,건설·부동산
동신건설,025950,KOSDAQ,S09,건설·부동산
동원개발,013120,KOSDAQ,S09,건설·부동산
상지건설,042940,KOSDAQ,S09,건설·부동산
서희건설,035890,KOSDAQ,S09,건설·부동산
시공테크,020710,KOSDAQ,S09,건설·부동산
신원종합개발,017000,KOSDAQ,S09,건설·부동산
우원개발,046940,KOSDAQ,S09,건설·부동산
특수건설,026150,KOSDAQ,S09,건설·부동산
DL이앤씨,375500,KOSPI,S09,건설·부동산
DL이앤씨2우(전환),37550L,KOSPI,S09,건설·부동산
DL이앤씨우,37550K,KOSPI,S09,건설·부동산
GS건설,006360,KOSPI,S09,건설·부동산
HD건설기계,267270,KOSPI,S09,건설·부동산
IPARK현대산업개발,294870,KOSPI,S09,건설·부동산
계룡건설,013580,KOSPI,S09,건설·부동산
금호건설,002990,KOSPI,S09,건설·부동산
금호건설우,002995,KOSPI,S09,건설·부동산
대우건설,047040,KOSPI,S09,건설·부동산
동부건설,005960,KOSPI,S09,건설·부동산
동부건설우,005965,KOSPI,S09,건설·부동산
롯데관광개발,032350,KOSPI,S09,건설·부동산
블루산업개발,006740,KOSPI,S09,건설·부동산
삼성물산,028260,KOSPI,S09,건설·부동산
삼성물산우B,02826K,KOSPI,S09,건설·부동산
삼호개발,010960,KOSPI,S09,건설·부동산
일성건설,013360,KOSPI,S09,건설·부동산
전진건설로봇,079900,KOSPI,S09,건설·부동산
태영건설,009410,KOSPI,S09,건설·부동산
태영건설우,009415,KOSPI,S09,건설·부동산
현대건설,000720,KOSPI,S09,건설·부동산
현대건설우,000725,KOSPI,S09,건설·부동산
메가스터디,072870,KOSDAQ,S10,에너지·자원
메가스터디교육,215200,KOSDAQ,S10,에너지·자원
